,count,mean,std,min,10%,50%,90%,max,brier,type,scale,calibration_type,ATE,ATE_error
42_4,4802.0,0.5822010644470409,0.3730123849374867,0.028814818429770406,0.028814818429770406,0.8482081348729122,0.8482081348729122,0.8482081348729122,0.2383085931674632,GBT_cv,GBT_cv_model,,4.763690407079367,0.551771539291118
42_4,4802.0,0.5714904962701564,0.3932529881630677,0.008563341785276846,0.008563341785276846,0.8528476616864049,0.8528476616864049,0.8528476616864049,0.2367897839001783,GBT_cv_calibrated,GBT_cv_model,sigmoid_calib,4.46843200278596,0.2565131349977108
42_4,4802.0,0.11367349595407425,0.08989934801226798,6.75203938930169e-05,0.019939151365443754,0.09740067469149744,0.21718635400549666,0.8248349541725877,0.23649865644964713,rf_cv,rf_cv_model,,4.7584225784452,0.5465037106569506
42_4,4802.0,0.026279965752973356,0.02050342248845689,9.304828034406576e-06,0.005051870126065072,0.023183031729136383,0.05016490238107788,0.14726894501602467,0.2201662890939526,rf_cv_calibrated,rf_cv_model,sigmoid_calib,3.674559300368695,0.5373595674195539
42_4,4802.0,0.011020406563231125,0.014971536421767115,2.0704309190877623e-05,0.004186467230334334,0.008006488608547524,0.015914705062950715,0.3730636117104209,0.23820795328167674,identity,identity_model,,3.640913780377281,0.5710050874109682
42_4,4802.0,0.020479807077477617,0.01400416369656662,0.0001457349669727881,0.01021117055357842,0.018066035452986295,0.03153404849062135,0.2754292461438277,0.23803357554524915,identity_calibrated,identity_model,sigmoid_calib,4.284278031770121,0.07235916398187214
42_5,4802.0,0.05156329842446013,0.015153735045430794,0.030388545764797548,0.03262943555232757,0.04624889785425007,0.07139539882778247,0.07921364890785698,0.2227758205814223,lr,lr_model,,7.158402416865973,0.055513793514263554
42_5,4802.0,0.05116284942841773,0.011071091395022012,0.031163755521503633,0.03371898136499886,0.05237906572216344,0.06274515071764465,0.08199192119070964,0.22272795046639696,lr_calibrated,lr_model,sigmoid_calib,7.163921358603249,0.04999485177698748
42_5,4802.0,0.07967304908680141,0.057535515964134705,0.00019740054115324757,0.013798019874895484,0.07335080179178688,0.1269451457893649,0.5014722988940616,0.2180349145689445,GBT_cv,GBT_cv_model,,7.153460905745364,0.06045530463487214
42_5,4802.0,0.05372370146476703,0.023799525703747576,0.00019056105386050515,0.02178477957218039,0.054182044320880696,0.08244588333143643,0.10567048118699818,0.21413468882154968,GBT_cv_calibrated,GBT_cv_model,sigmoid_calib,7.216034065205121,0.0021178548248848017
