,count,mean,std,min,10%,50%,90%,max,brier,type,scale,calibration_type,ATE,Balancing,ATE_error
42_3,4802.0,0.12164333302912804,0.08017055543186875,6.07506503839117e-05,0.02420669895112776,0.11282599638308893,0.22163125347783894,0.5365434283834877,0.21755121453858964,rf_cv,rf_cv_model,,3.3242781994350565,0.11938517561494336,0.313257154341509
42_3,4802.0,0.035320438441723896,0.021029461516858087,3.188186977493013e-05,0.006815650507083183,0.03264624195016008,0.06521897839341803,0.06906644115044569,0.20204087574351948,rf_cv_calibrated,rf_cv_model,sigmoid_calib,2.4898698346355266,0.13562097316224556,0.5211512104580209
42_3,4802.0,0.02283934869799605,0.011333715296054696,6.826528342052107e-06,0.003973109010183229,0.023982256667590907,0.035725830821576675,0.055044823257089176,0.22386139867391888,identity,identity_model,,3.060011261224289,0.12104498209430353,0.048990216130741615
42_3,4802.0,0.02868715487595117,0.013721724110202798,1.0667145485476759e-05,0.011011867381328182,0.029549433017389437,0.04517350297048305,0.06696811956788595,0.22377599261913883,identity_calibrated,identity_model,sigmoid_calib,3.1263120509872695,0.12045109015740645,0.11529100589372199
42_4,4802.0,0.021726657452390594,0.015593162356800933,0.0001271508469936622,0.011149357070969923,0.018018875656490074,0.03939972896479162,0.164344116141667,0.23767439033679955,lr,lr_model,,4.696244639114547,0.07574086069679052,0.48432577132629806
42_4,4802.0,0.020769990176811172,0.01201651794494719,0.0001678316436269922,0.011815955429175018,0.015630225129235398,0.02975502170237515,0.1300397544622931,0.23762517669899452,lr_calibrated,lr_model,sigmoid_calib,4.6664359114707725,0.07503192171740729,0.45451704368252344
42_4,0.0,,,,,,,,0.2387088682728692,GBT_cv,GBT_cv_model,,4.751484732061198,0.0741071050134963,0.5395658642729488
42_4,4802.0,0.9989431851432211,0.3427833797696295,0.017426761072010022,0.040784606241965005,1.147983810030843,1.147983810030843,1.147983810030843,0.23778678621893393,GBT_cv_calibrated,GBT_cv_model,sigmoid_calib,4.457603891096476,0.06971508131443836,0.24568502330822728
42_4,4802.0,0.13229391343239974,0.10976897725553046,1.1187392746303537e-05,0.018167494222032586,0.11187545608422667,0.27061570046401207,0.9701921736188153,0.23430574824183414,rf_cv,rf_cv_model,,4.7298294805135885,0.07499224844858976,0.5179106127253394
42_4,4802.0,0.028323520209469124,0.01731599281557094,4.113097138580546e-05,0.0073588247208103376,0.028632067373677683,0.03967439685650438,0.1390789151920041,0.21170683091112094,rf_cv_calibrated,rf_cv_model,sigmoid_calib,3.764870070294598,0.07671791348802456,0.44704879749365123
42_4,4802.0,0.011020406563231125,0.014971536421767115,2.0704309190877623e-05,0.004186467230334334,0.008006488608547524,0.015914705062950715,0.3730636117104209,0.23820795328167674,identity,identity_model,,3.640913780377281,0.07236158628746446,0.5710050874109682
42_4,4802.0,0.020479807077477617,0.01400416369656662,0.0001457349669727881,0.01021117055357842,0.018066035452986295,0.03153404849062135,0.2754292461438277,0.23803357554524915,identity_calibrated,identity_model,sigmoid_calib,4.284278031770121,0.07283217003555328,0.07235916398187214
42_5,4802.0,0.05156513087230839,0.015152890564099594,0.030388293285813273,0.03264555596791585,0.04624550471357802,0.07139470667662783,0.0792037841085349,0.22277586073678374,lr,lr_model,,7.158414097903621,0.07429151285785215,0.055502112476615295
42_5,4802.0,0.05116471765271734,0.011070358651526313,0.031171318166525075,0.03372417676694017,0.052384079474277645,0.06274737548842381,0.08201777246381414,0.22272800828260259,lr_calibrated,lr_model,sigmoid_calib,7.163925020094861,0.07477802392463916,0.04999119028537535
42_5,4802.0,0.07779002713574716,0.035882298325400165,0.0004866442024695772,0.03985529674527133,0.0697839977613045,0.11577291447984539,0.2299901954628556,0.21967150727488793,GBT_cv,GBT_cv_model,,7.195604468364061,0.07737621407832375,0.01831174201617536
42_5,4802.0,0.06189632475552734,0.022964944313255575,0.0007151451167581868,0.02072142944409605,0.06667107606697253,0.08769277772827955,0.1334592332633654,0.21834299088341924,GBT_cv_calibrated,GBT_cv_model,sigmoid_calib,7.336980725997264,0.08095085190900449,0.12306451561702758
42_5,4802.0,0.1842123869254754,0.11078041405582147,5.6662011663211054e-05,0.053196314152297496,0.18360901372722582,0.26695464174016886,0.7348952112095517,0.21432356845596803,rf_cv,rf_cv_model,,7.1010106569132585,0.07758307821257025,0.11290555346697762
42_5,4802.0,0.09859561202629387,0.038693191734397114,4.4880450338125044e-05,0.04114735224981172,0.10842844711529062,0.1392413146535296,0.14009935174886445,0.19144943586719806,rf_cv_calibrated,rf_cv_model,sigmoid_calib,6.948864596060187,0.08196763232660265,0.26505161432004876
42_5,4802.0,0.06724176972756493,0.013454636672423588,6.0530518790624654e-05,0.05640234453741755,0.06838620762722558,0.07851254677344383,0.20804710600032345,0.2208963008571089,identity,identity_model,,7.018037086971766,0.08035123359850103,0.1958791234084698
42_5,4802.0,0.060476677802477924,0.01133120482607541,3.466466480117614e-05,0.0548617653442988,0.0612033007527264,0.06988182736677023,0.17232334824834483,0.22079973370066067,identity_calibrated,identity_model,sigmoid_calib,6.983472424989585,0.0799079577513297,0.23044378539065136
